imageUrl,title,question,description,tradingStatus,status,isVisible,isNegRisk,isYieldBearing,resolution,oracleQuestionId,conditionId,resolverAddress,questionIndex,spreadThreshold,shareThreshold,isBoosted,boostStartsAt,boostEndsAt,polymarketConditionIds,kalshiMarketTicker,categorySlug,createdAt,decimalPrecision,marketVariant,variantData,stats,id,feeRateBps,outcomes
https://static.predict.fun/automarket-btc-usd-15-minutes-gold,"BTC/USD Up or Down - February 27, 10:15-10:30AM ET","BTC/USD Up or Down - February 27, 10:15-10:30AM ET","This market will resolve to ""Up"" if the Pyth BTC/USD price at February 27th, 2026 at 10:29:59 AM ET is higher than the starting price of $66,037.91793901.

This market will resolve to ""Down"" if the Pyth BTC/USD price at February 27th, 2026 at 10:29:59 AM ET is lower than the starting price of $66,037.91793901.

If the two prices are exactly equal, this market will resolve 50-50.

The resolution source for this market is the Pyth Network BTC/USD price feed (0xe62df6c8b4a85fe1a67db44dc12de5db330f7ac66b72dc658afedf0f4a415b43). If Pyth data is unavailable, admin may use Binance, Coinbase or any other exchange as fallback.

Created At: February 27th, 2026 at 10:15:00 AM ET",OPEN,REGISTERED,True,False,True,,0xad5296121ce665e23f88df253477c98fc08226001f0f6bfb6a4f4d0b81eb944b,0x11330f577afc70cdde65da56f0bbd090403636e117f9b25c58709abe65e2e563,0x947cc06D38d3cB0a2BB5AdFB668b99B4FF53d7B4,,0.06,50,True,2026-02-27T15:15:00.000Z,2026-02-27T15:29:59.000Z,[],,btc-usd-up-down-2026-02-27-10-15-15-minutes,2026-02-27T15:15:25.255Z,2,CRYPTO_UP_DOWN,"{""type"": ""CRYPTO_UP_DOWN"", ""startPrice"": 66037.91793901, ""endPrice"": null, ""priceFeedId"": ""0xe62df6c8b4a85fe1a67db44dc12de5db330f7ac66b72dc658afedf0f4a415b43""}",,11174,200,"[{""name"": ""Up"", ""indexSet"": 1, ""status"": null, ""onChainId"": ""16075051619043148233487237157552077850414398110281476529922155259228925373358""}, {""name"": ""Down"", ""indexSet"": 2, ""status"": null, ""onChainId"": ""106692884412100760099146010272339779446419184907071208167811557256544014758739""}]"
https://static.predict.fun/will-the-us-confirm-that-aliens-exist-before-2027-will-the-us-confirm-that-aliens-exist-before-2027,Will the US confirm that aliens exist before 2027?,Will the US confirm that aliens exist before 2027?,"This market will resolve to ""Yes"" if the President of the United States, any member of the Cabinet of the United States, any member of the Joint Chiefs of Staff, or any US federal agency definitively states that extraterrestrial life or technology exists by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be official information from the government of the United States, however a consensus of credible reporting will also be used.",OPEN,REGISTERED,True,False,True,,0x01d708819633215843cc70c06b9ef67548981ce2b2444a795d92c3c91042e83f,0xe8bd54b20478c0c47436c271935f6fc780f0ed6410df466f1cdea06aa4e1276f,0x947cc06D38d3cB0a2BB5AdFB668b99B4FF53d7B4,,0.06,100,False,,,"[""0x747dc809fb79e1b05be09c42d6179459a58de2ef3e40f02484a4e1260f741f75""]",,will-the-us-confirm-that-aliens-exist-before-2027,2026-02-26T10:39:37.847Z,3,DEFAULT,,,10835,200,"[{""name"": ""Yes"", ""indexSet"": 1, ""status"": null, ""onChainId"": ""43913266138716061999370819231995125816339102838741430587666640620946616511038""}, {""name"": ""No"", ""indexSet"": 2, ""status"": null, ""onChainId"": ""95666191922701525064334130359292250282544945245687904032708488194449877618656""}]"
https://static.predict.fun/will-jesus-christ-return-before-2027-will-jesus-christ-return-before-2027,Will Jesus Christ return before 2027?,Will Jesus Christ return before 2027?,"This market will resolve to ""Yes"" if The Second Coming of Jesus Christ occurs by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

The resolution source for this market will be a consensus of credible sources.",OPEN,REGISTERED,True,False,True,,0xe7516aeabb7bea7984c7ed6809ea76aa2eda14fd78fc34742be61152bbb6f72a,0x0685b885eca8f2744d4726be03cd0af5fcc8c1d078e19e406cd72c33acdcf151,0x947cc06D38d3cB0a2BB5AdFB668b99B4FF53d7B4,,0.06,100,False,,,"[""0x0b4cc3b739e1dfe5d73274740e7308b6fb389c5af040c3a174923d928d134bee""]",,will-jesus-christ-return-before-2027,2026-02-26T15:24:28.417Z,3,DEFAULT,,,10909,200,"[{""name"": ""Yes"", ""indexSet"": 1, ""status"": null, ""onChainId"": ""48506319167796551402259986962903690800337075804319127979354715359832719534666""}, {""name"": ""No"", ""indexSet"": 2, ""status"": null, ""onChainId"": ""95637417573336848067756319356527844561082404486469791004960410072163068233540""}]"
https://static.predict.fun/safu-fund-wallet-bitcoin-balance-on-march-1st-10-k,<10k BTC,"Will the Binance SAFU wallet address have a Bitcoin Balance of less than 10,000 BTC on March 1st, 2026?","On Jan 30th, 2026 Binance announced “Binance will convert the SAFU fund’s $1 billion stablecoin reserves into Bitcoin reserves, with plans to complete the conversion within 30 days of this announcement.”
https://www.binance.com/en/blog/community/7001232677846823071

This market will resolve to YES if at 12:00pm ET, March 1st, 2026 the Binance SAFU wallet address holds a Bitcoin Balance of strictly less than 10,000. Otherwise, this market will resolve to NO.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. E.g. if the final balance is 10,000.000001, a market with ""10k"" as the lower bound would resolve to ""Yes"". If the balance is exactly 10,000 without rounding, a market with ""10k"" as the lower bound would resolve to ""No"".

SAFU fund Bitcoin address - 1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD
Explorer link - https://www.blockchain.com/explorer/addresses/btc/1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD",OPEN,REGISTERED,True,True,True,,0xe030d724c7219955ec392fafb6292684557720f44bb62f04fccfc167f6527ac5,0x2e82b57a159173848cc88d96bdff06b02cd08e06de307c8e544f071e5a2697b4,0x26B366Ab634C43BdA6D784fDCe34F24A37DF8172,0,0.06,100,False,,,[],,binance-safu-fund-wallet-bitcoin-balance-on-march-1st,2026-02-03T16:08:24.729Z,3,DEFAULT,,,6572,200,"[{""name"": ""Yes"", ""indexSet"": 1, ""status"": null, ""onChainId"": ""33932299125619762044914478866250064960939896301680318131471436401647749917136""}, {""name"": ""No"", ""indexSet"": 2, ""status"": null, ""onChainId"": ""47697083416389824673916210035997603865180638003555819723123816942468574422958""}]"
https://static.predict.fun/safu-fund-wallet-bitcoin-balance-on-march-1st-10-k-12-k,10k-12k BTC,"Will the Binance SAFU wallet address have a Bitcoin Balance between 10,000 and 12,000 BTC on March 1st, 2026?","On Jan 30th, 2026 Binance announced “Binance will convert the SAFU fund’s $1 billion stablecoin reserves into Bitcoin reserves, with plans to complete the conversion within 30 days of this announcement.”
https://www.binance.com/en/blog/community/7001232677846823071

This market will resolve to YES if at 12:00pm ET, March 1st, 2026 the Binance SAFU wallet address holds a Bitcoin Balance that falls between the lower (inclusive) and higher (exclusive) amounts in the title. Otherwise, this market will resolve to NO.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. E.g. if the final balance is 10,000.000001, a market with ""10k"" as the lower bound would resolve to ""Yes"". If the balance is exactly 10,000 without rounding, a market with ""10k"" as the lower bound would resolve to ""No"".

SAFU fund Bitcoin address - 1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD
Explorer link - https://www.blockchain.com/explorer/addresses/btc/1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD",OPEN,REGISTERED,True,True,True,,0x39d428977692ba1dafb4469b0fd388011161cfb3b16a177a166539f6ed959e5e,0x4ef58d12268666d84bca013e1c3b6bca77a3b2aeb48c4ba569a9c28512e9bd8b,0x26B366Ab634C43BdA6D784fDCe34F24A37DF8172,1,0.06,100,False,,,[],,binance-safu-fund-wallet-bitcoin-balance-on-march-1st,2026-02-03T16:10:06.850Z,3,DEFAULT,,,6573,200,"[{""name"": ""Yes"", ""indexSet"": 1, ""status"": null, ""onChainId"": ""67847722161511517615727579414499603585658470264780444958795679976522839015521""}, {""name"": ""No"", ""indexSet"": 2, ""status"": null, ""onChainId"": ""9145183386520413951237150342667880594068589315341321012808841411683382808943""}]"
https://static.predict.fun/safu-fund-wallet-bitcoin-balance-on-march-1st-12-k-14-k,12k-14k BTC,"Will the Binance SAFU wallet address have a Bitcoin Balance between 12,000 and 14,000 BTC on March 1st, 2026?","On Jan 30th, 2026 Binance announced “Binance will convert the SAFU fund’s $1 billion stablecoin reserves into Bitcoin reserves, with plans to complete the conversion within 30 days of this announcement.”
https://www.binance.com/en/blog/community/7001232677846823071

This market will resolve to YES if at 12:00pm ET, March 1st, 2026 the Binance SAFU wallet address holds a Bitcoin Balance that falls between the lower (inclusive) and higher (exclusive) amounts in the title. Otherwise, this market will resolve to NO.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. E.g. if the final balance is 10,000.000001, a market with ""10k"" as the lower bound would resolve to ""Yes"". If the balance is exactly 10,000 without rounding, a market with ""10k"" as the lower bound would resolve to ""No"".

SAFU fund Bitcoin address - 1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD
Explorer link - https://www.blockchain.com/explorer/addresses/btc/1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD",OPEN,REGISTERED,True,True,True,,0xaffb81e2753378b017b8024fa60a90ba2a6a379df23f053b2b0a4226603e3bb9,0xfd55c9f5a30de2dc0571c71c966a63003f5afb076006b2a4160ef791c7ce29bd,0x26B366Ab634C43BdA6D784fDCe34F24A37DF8172,2,0.06,100,False,,,[],,binance-safu-fund-wallet-bitcoin-balance-on-march-1st,2026-02-03T16:11:20.718Z,3,DEFAULT,,,6574,200,"[{""name"": ""Yes"", ""indexSet"": 1, ""status"": null, ""onChainId"": ""33761015612330536721915346659950067469258402168497535982534124444378583598305""}, {""name"": ""No"", ""indexSet"": 2, ""status"": null, ""onChainId"": ""93995797099549617429127772903900346443504952022481021148371258107311999235211""}]"
https://static.predict.fun/safu-fund-wallet-bitcoin-balance-on-march-1st-14-k-16-k,14k-16k BTC,"Will the Binance SAFU wallet address have a Bitcoin Balance between 14,000 and 16,000 BTC on March 1st, 2026?","On Jan 30th, 2026 Binance announced “Binance will convert the SAFU fund’s $1 billion stablecoin reserves into Bitcoin reserves, with plans to complete the conversion within 30 days of this announcement.”
https://www.binance.com/en/blog/community/7001232677846823071

This market will resolve to YES if at 12:00pm ET, March 1st, 2026 the Binance SAFU wallet address holds a Bitcoin Balance that falls between the lower (inclusive) and higher (exclusive) amounts in the title. Otherwise, this market will resolve to NO.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. E.g. if the final balance is 10,000.000001, a market with ""10k"" as the lower bound would resolve to ""Yes"". If the balance is exactly 10,000 without rounding, a market with ""10k"" as the lower bound would resolve to ""No"".

SAFU fund Bitcoin address - 1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD
Explorer link - https://www.blockchain.com/explorer/addresses/btc/1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD",OPEN,REGISTERED,True,True,True,,0x532648c93087fedfb803026223b50ce23b56f70a57d73480b82c515ad23769b9,0xfb18ab9ea9efd9c4618e551d8484ce1c9c71b4e01c24d11fa4c826f1dd0c86b6,0x26B366Ab634C43BdA6D784fDCe34F24A37DF8172,3,0.06,100,False,,,[],,binance-safu-fund-wallet-bitcoin-balance-on-march-1st,2026-02-03T16:11:54.746Z,3,DEFAULT,,,6575,200,"[{""name"": ""Yes"", ""indexSet"": 1, ""status"": null, ""onChainId"": ""48742493890105048788294893527887918560796574302694765836043817924036881495644""}, {""name"": ""No"", ""indexSet"": 2, ""status"": null, ""onChainId"": ""91469489906153743997917911493963926008270931666650640921576738029400766070687""}]"
https://static.predict.fun/safu-fund-wallet-bitcoin-balance-on-march-1st-16-k-18-k,16k-18k BTC,"Will the Binance SAFU wallet address have a Bitcoin Balance between 16,000 and 18,000 BTC on March 1st, 2026?","On Jan 30th, 2026 Binance announced “Binance will convert the SAFU fund’s $1 billion stablecoin reserves into Bitcoin reserves, with plans to complete the conversion within 30 days of this announcement.”
https://www.binance.com/en/blog/community/7001232677846823071

This market will resolve to YES if at 12:00pm ET, March 1st, 2026 the Binance SAFU wallet address holds a Bitcoin Balance that falls between the lower (inclusive) and higher (exclusive) amounts in the title. Otherwise, this market will resolve to NO.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. E.g. if the final balance is 10,000.000001, a market with ""10k"" as the lower bound would resolve to ""Yes"". If the balance is exactly 10,000 without rounding, a market with ""10k"" as the lower bound would resolve to ""No"".

SAFU fund Bitcoin address - 1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD
Explorer link - https://www.blockchain.com/explorer/addresses/btc/1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD",OPEN,REGISTERED,True,True,True,,0xdf973ab93d429a3b624679f3001327e4cf1dc75e715d28ac5186fc0efc79722b,0x662edbfbcc8724a6bd26cb940c1d4c5e4a9e220e9fa4951afdb05e09772431df,0x26B366Ab634C43BdA6D784fDCe34F24A37DF8172,4,0.06,100,False,,,[],,binance-safu-fund-wallet-bitcoin-balance-on-march-1st,2026-02-03T16:12:32.042Z,3,DEFAULT,,,6576,200,"[{""name"": ""Yes"", ""indexSet"": 1, ""status"": null, ""onChainId"": ""33308642548831080507750984369442223472665764566370176735542855511191988356373""}, {""name"": ""No"", ""indexSet"": 2, ""status"": null, ""onChainId"": ""103167668976377564509263561311439601101484179013702423469629051506462276649718""}]"
https://static.predict.fun/safu-fund-wallet-bitcoin-balance-on-march-1st-18-k-20-k,18k-20k BTC,"Will the Binance SAFU wallet address have a Bitcoin Balance between 18,000 and 20,000 BTC on March 1st, 2026?","On Jan 30th, 2026 Binance announced “Binance will convert the SAFU fund’s $1 billion stablecoin reserves into Bitcoin reserves, with plans to complete the conversion within 30 days of this announcement.”
https://www.binance.com/en/blog/community/7001232677846823071

This market will resolve to YES if at 12:00pm ET, March 1st, 2026 the Binance SAFU wallet address holds a Bitcoin Balance that falls between the lower (inclusive) and higher (exclusive) amounts in the title. Otherwise, this market will resolve to NO.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. E.g. if the final balance is 10,000.000001, a market with ""10k"" as the lower bound would resolve to ""Yes"". If the balance is exactly 10,000 without rounding, a market with ""10k"" as the lower bound would resolve to ""No"".

SAFU fund Bitcoin address - 1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD
Explorer link - https://www.blockchain.com/explorer/addresses/btc/1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD",OPEN,REGISTERED,True,True,True,,0x8890a9c9b696d1de2d0d98f97142900d58ceabd1e8f74e7c5d799d7d8554eead,0x56b38a33d5b2c0228883d83e73e73c0bbff11161657b450849d4f6e3193c403f,0x26B366Ab634C43BdA6D784fDCe34F24A37DF8172,5,0.06,100,False,,,[],,binance-safu-fund-wallet-bitcoin-balance-on-march-1st,2026-02-03T16:13:13.297Z,3,DEFAULT,,,6577,200,"[{""name"": ""Yes"", ""indexSet"": 1, ""status"": null, ""onChainId"": ""10484765882890301705415286136856283345555404816635219779318686105102055915296""}, {""name"": ""No"", ""indexSet"": 2, ""status"": null, ""onChainId"": ""35548223049643227466280017693620230352181668239094938979193805783696884417839""}]"
https://static.predict.fun/safu-fund-wallet-bitcoin-balance-on-march-1st-20-k,>=20k BTC,"Will the Binance SAFU wallet address have a Bitcoin Balance equal to or greater than 20,000 BTC on March 1st, 2026?","On Jan 30th, 2026 Binance announced “Binance will convert the SAFU fund’s $1 billion stablecoin reserves into Bitcoin reserves, with plans to complete the conversion within 30 days of this announcement.”
https://www.binance.com/en/blog/community/7001232677846823071

This market will resolve to YES if at 12:00pm ET, March 1st, 2026 the Binance SAFU wallet address holds a Bitcoin Balance equal to or greater than 20,000. Otherwise, this market will resolve to NO.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket. E.g. if the final balance is 10,000.000001, a market with ""10k"" as the lower bound would resolve to ""Yes"". If the balance is exactly 10,000 without rounding, a market with ""10k"" as the lower bound would resolve to ""No"".

SAFU fund Bitcoin address - 1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD
Explorer link - https://www.blockchain.com/explorer/addresses/btc/1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD",OPEN,REGISTERED,True,True,True,,0x8b5423e3ca223e768874f20a073644aaefbdc68871b7b51f1d6bbaeea0c6074b,0xb83443890939f4476efeede2865e2435afb466bd15092019f9741f2c7bbadea9,0x26B366Ab634C43BdA6D784fDCe34F24A37DF8172,6,0.06,100,False,,,[],,binance-safu-fund-wallet-bitcoin-balance-on-march-1st,2026-02-03T16:14:55.502Z,3,DEFAULT,,,6578,200,"[{""name"": ""Yes"", ""indexSet"": 1, ""status"": null, ""onChainId"": ""103037170329002842291926550848888428872994758823268707535967062967111025015748""}, {""name"": ""No"", ""indexSet"": 2, ""status"": null, ""onChainId"": ""71955670062202200683542596483643769741233689955218207463036790961282438519026""}]"
