timestamp,market_id,event_name,outcome,last_price,volume_24h,liquidity,open_interest,buy_order_book_depth,sell_order_book_depth
2026-02-27T08:00:00Z,PM-902,US_Fed_Rate_Cut_March,Yes,0.64,1250000,450000,8900000,0.63,0.65
2026-02-27T08:15:00Z,PM-902,US_Fed_Rate_Cut_March,Yes,0.62,1265000,448000,8915000,0.61,0.63
2026-02-27T08:30:00Z,PM-902,US_Fed_Rate_Cut_March,Yes,0.68,1450000,430000,9100000,0.67,0.69
2026-02-27T08:00:00Z,PM-441,Oscar_Best_Picture_Oppenheimer_2,No,0.12,45000,12000,340000,0.11,0.13
2026-02-27T08:15:00Z,PM-441,Oscar_Best_Picture_Oppenheimer_2,No,0.11,46500,11500,345000,0.10,0.12
2026-02-27T08:30:00Z,PM-441,Oscar_Best_Picture_Oppenheimer_2,No,0.10,48000,11000,350000,0.09,0.11
2026-02-27T08:00:00Z,PM-105,BTC_Price_Above_100k_EOY,Yes,0.75,3200000,1200000,25000000,0.74,0.76
2026-02-27T08:15:00Z,PM-105,BTC_Price_Above_100k_EOY,Yes,0.77,3250000,1180000,25200000,0.76,0.78
2026-02-27T08:30:00Z,PM-105,BTC_Price_Above_100k_EOY,Yes,0.76,3300000,1150000,25400000,0.75,0.77
2026-02-27T08:45:00Z,PM-105,BTC_Price_Above_100k_EOY,Yes,0.80,3500000,1100000,26000000,0.79,0.81
